x,y,color
516.0127058374305,393.01451385201693,0
436.2117622061974,408.6565848615271,0
512.0526012254161,372.02201357478293,0
489.14046445291086,401.807159361874,0
446.2079858903369,338.51668220520173,0
516.4143942778024,354.1946331968146,0
499.38635309102756,414.43229606269244,0
489.3139371365318,408.06659564418663,0
440.109392441973,394.8216765898479,0
444.11917081057294,367.85030508175623,0
430.85313667255093,364.0463180839984,0
462.7448850995777,411.3374508188923,0
525.3908350451038,344.2468508670495,0
489.9870399131361,366.0804550055338,0
513.9066881477629,378.01799726694344,0
485.21289498432367,347.673839725019,0
529.1200550018825,359.84631868236875,0
518.6871304146838,382.7215566260512,0
464.5499943146487,317.7993655113554,0
489.13628726709425,322.4817914341174,0
517.0391004885062,359.4994999223177,0
501.9240839540738,406.5793762715041,0
517.3271821345925,407.19390734391925,0
482.4187002840496,402.33768729635705,0
502.80582423762786,348.77041753702235,0
493.39148493650436,396.1919795350139,0
494.22509256238783,320.36870509240396,0
506.71760772038226,321.3100159254086,0
477.9060080391279,376.6104354134343,0
475.771004097141,385.68884653768663,0
526.3674862236835,385.9015929399979,0
458.4423104375233,412.261105877638,0
541.4330242004786,349.1140023810797,0
478.21675316498545,375.6246256503273,0
460.5624525545353,391.5014153126483,0
530.4595983504676,400.3740378105998,0
522.9458640963958,366.8870077499869,0
482.9750995275161,385.96680653013505,0
494.3666172453304,412.2156095583674,0
539.5281301575852,428.94019595829155,0
488.60950050767445,352.89084234054184,0
463.16180965703126,433.6460556303463,0
515.9308340787504,365.3147131318315,0
510.5066111387522,356.9058435651109,0
468.19455319255445,436.0717678887411,0
482.6366921116205,416.6518975190995,0
491.78742936158426,377.3912060783781,0
479.67922130587755,391.97829055422517,0
507.01105176004125,413.9866409759064,0
416.82026114139194,406.402981190038,0
493.32631351967996,447.4476280589422,0
425.0833565281501,391.5358348606207,0
419.75094943037743,357.60732095153276,0
484.46170119270016,387.17077573094184,0
440.6937746274516,444.2206921137569,0
453.830522583607,372.82754811626313,0
475.2397225219906,389.97828129994843,0
426.0135612814879,399.33937217955724,0
489.3020772749018,368.90342503250724,0
478.5477776647141,372.17896700243966,0
479.817523551656,439.275668632536,0
467.82515549503125,410.97713532111237,0
468.52190927348045,423.1356145837607,0
475.7890888691272,405.97523323843785,0
422.0058413301871,410.99101608910195,0
494.8695769173755,376.3584621615373,0
449.8698888038798,358.945933298645,0
457.4432052785545,381.6507837873928,0
477.43188637930234,422.18446862285066,0
450.9193085667017,399.8004119430752,0
510.80755270802297,348.37708200254747,0
483.18168623591407,427.39813091792604,0
420.6607637305068,428.1641889892514,0
506.81984389708447,425.4232887176487,0
434.52323402332854,344.23906955889134,0
430.3840143562126,333.05792062511136,0
505.04316766511073,356.39280942874194,0
463.7004461126386,421.1900350557969,0
437.57937543893286,330.1355365537735,0
428.19664663586354,383.6569880957447,0
511.13328518809874,340.99572017129753,0
440.2125937495669,328.19652877046383,0
478.8221441081133,354.23415935681254,0
488.4427715343118,381.50687996165044,0
507.3279019594129,371.74248039731754,0
506.694840006331,399.8196376495654,0
424.32298505266067,408.25753547031263,0
509.2539397556102,402.55407138089276,0
493.1196807512771,388.9357321733259,0
505.8126816314027,364.09880121781003,0
474.4914726890311,382.8801592302718,0
497.941882885065,350.3835043024707,0
420.05975576838654,368.2888401954556,0
430.27355371638447,424.91005031728207,0
464.95921547093343,383.7617359861251,0
502.6855027674245,345.0661246971393,0
448.19285855202963,396.93295465847484,0
419.6696076609214,378.3182830076566,0
468.51479859328816,428.3690765829806,0
497.1036200101084,413.680144515699,0
